specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q06070/o55q06070_continuumfit.fits|1317.217|0.00048|13.88|0.008|21.94|0.476|3.147|0.335|2|2|2|-41.7781|41.7781|1317.665187376723|1318.032313514017|17710|17736|0.00049|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q06070/o55q06070_continuumfit.fits|1370.132|0.00048|13.88|0.0|21.94|0.0|3.147|0.0|2|2|2|-41.7781|41.7781|1370.5981918779096|1370.9800661391305|22085|22111|0.00049|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q06070/o55q06070_continuumfit.fits|1454.842|0.00048|13.88|0.0|21.94|0.0|3.147|0.0|2|2|2|-41.7781|41.7781|1455.3370147314577|1455.7424988117823|28490|28516|0.00049|NiII|none|-- 
