wave,flux,err,best_fit_spec
1606.7745238167322,-87.69605,21.170227,1.1919004316510342
1606.8010100134045,-18.784784,12.540878,1.1872920701134604
1606.8274960397825,11.367473,10.87444,1.1825151590366312
1606.8539818958698,8.526042,11.034042,1.1779187378958345
1606.8804675816687,8.696574,11.675878,1.1741764686814213
1606.9069530971828,-6.488893,14.948855,1.1722105586702607
1606.9334384424158,-23.881262,13.393902,1.1723028414942211
1606.9599236173708,-15.516222,12.819645,1.1746943636268927
1606.986408622051,11.98454,14.159844,1.1792171830871603
1607.0128934564593,-14.865879,14.491825,1.1854206677974837
1607.0393781205998,1.6089115,14.878689,1.1923187180989931
1607.065862614475,-14.699751,12.481921,1.1990635054519592
1607.092346938089,15.48054,18.36769,1.2048641676042
1607.1188310914442,-1.8572117,12.366994,1.2092598416238374
1607.1453150745444,2.92075,14.230036,1.2122069716212491
1607.1717988873927,-2.9543283,13.712786,1.214172305908927
1607.1982825299929,-20.017021,13.8664255,1.2161342720094148
1607.2247660023477,39.32989,14.626116,1.2186928663085619
1607.25124930446,-1.8296536,14.343649,1.2217482979296095
1607.2777324363344,-0.7031635,14.2801075,1.224993143151761
1607.304215397973,26.430304,15.5258,1.2280354098889474
1607.3306981893795,19.17693,14.047587,1.2305200037252761
1607.357180810557,-15.197232,10.859041,1.2320421249991302
1607.3836632615094,4.437819,15.778636,1.232506153120914
1607.4101455422394,18.603987,14.065384,1.2319628614566598
1607.43662765275,12.349675,14.965627,1.230611281889977
1607.4631095930456,11.469489,14.01031,1.228430069304372
1607.4895913631283,-8.200606,17.115507,1.2255851580501793
1607.5160729630018,-8.048728,13.69783,1.2224113405698
1607.54255439267,-1.0571461,15.824191,1.2194129796622244
1607.569035652135,-29.895597,12.572335,1.2170685154836622
1607.595516741401,-44.94625,10.665554,1.2155603364567598
1607.621997660471,3.306767,14.850049,1.2149413706097263
1607.6484784093482,6.430717,15.219197,1.2151408209663401
1607.674958988036,24.562248,17.041937,1.2159514837877108
1607.7014393965376,-13.122662,12.758102,1.2169318948851335
1607.7279196348563,6.753909,19.711172,1.2175483295779124
1607.7543997029954,5.093009,15.496998,1.2175219933163994
1607.7808796009583,4.573067,14.439289,1.2169846701812423
1607.8073593287481,7.0800753,14.568425,1.2162067580174953
1607.8338388863683,-0.4750378,13.523102,1.2156330246745117
1607.8603182738216,21.644238,15.285742,1.2159664750349894
1607.8867974911118,16.255835,13.827594,1.2177608354914407
1607.9132765382426,-3.7703047,9.678694,1.2213317113093174
1607.9397554152163,3.2494159,11.383142,1.226479967686286
1607.966234122037,-9.701113,15.8541765,1.233066150361531
1607.9927126587072,-11.055511,14.070306,1.2410174535507055
1608.0191910252308,-27.501081,16.237812,1.250246481851499
1608.045669221611,17.927813,17.50211,1.2602235674451214
1608.0721472478508,-25.570763,15.670948,1.2704588238848031
1608.0986251039535,-21.025915,14.985371,1.2804633020682676
1608.1251027899227,-4.584042,16.52161,1.2901082212415698
1608.1515803057616,-13.699539,17.377861,1.299197475297821
1608.1780576514734,23.622961,13.80538,1.3079296801292122
1608.2045348270613,1.4372284,13.92488,1.3164591925325757
1608.2310118325283,-4.2883496,13.30199,1.3251049827443555
1608.2574886678783,-15.448502,14.405792,1.334037208921483
1608.2839653331146,-3.5766912,17.136196,1.343469389429521
1608.3104418282398,19.02666,16.021757,1.352992495111643
1608.3369181532576,16.54598,12.492397,1.362122779721377
1608.3633943081713,6.2213316,14.239581,1.3706875185973282
1608.3898702929841,7.67583,14.301487,1.378533478992147
1608.4163461076992,2.5648363,17.377283,1.3855228153693064
1608.4428217523202,-8.261114,16.418385,1.3913535771936218
1608.4692972268501,-0.5820537,12.8968725,1.3958944785093377
1608.4957725312922,2.2924728,14.196528,1.399179028758739
1608.5222476656497,6.3916106,10.843027,1.4016864287989161
1608.548722629926,9.905669,12.904001,1.403611822352491
1608.5751974241246,-9.784933,13.067375,1.4049936912414318
