wave,flux,err,best_fit_spec
1250.0056802376546,1.3596748,0.26637515,1.3984576657861378
1250.0191213228486,1.5966522,0.27689272,1.3985472468871427
1250.032562143315,1.6310495,0.3150531,1.3986139408718337
1250.0460026990697,1.190219,0.2730071,1.3986806359237418
1250.0594429901282,1.4905103,0.276754,1.3987244438592101
1250.0728830165058,1.2843162,0.28620434,1.3987682528617702
1250.0863227782183,1.4106022,0.30952606,1.398758657169639
1250.0997622752814,1.3023907,0.29151794,1.3987185449663486
1250.113201507711,1.6919028,0.30636182,1.3985945104901158
1250.1266404755224,1.4706905,0.28957084,1.3983941831354096
1250.140079178731,1.910503,0.34342426,1.3981023041131049
1250.1535176173531,1.5708979,0.28290373,1.3977112440286061
1250.1669557914038,1.8898937,0.3051584,1.3972210028818515
1250.180393700899,1.7471762,0.31488872,1.3966392100673086
1250.1938313458543,1.2130227,0.27800536,1.3959658655849148
1250.2072687262848,1.7190297,0.2979775,1.395231487012732
1250.2207058422066,1.9615312,0.3129846,1.3944131861671039
1250.2341426936357,1.4459206,0.30931872,1.3935491100206225
1250.247579280587,1.7639813,0.3038757,1.3926163703896324
1250.2610156030762,1.4054886,0.29251745,1.3916302260631328
1250.2744516611194,1.1585201,0.259098,1.3905677888574666
1250.287887454732,1.6246588,0.30902776,1.3894214293780398
1250.3013229839296,1.4340719,0.29542089,1.3881835182302584
1250.3147582487277,1.3106999,0.31687814,1.386846426019528
1250.3281932491416,1.3857054,0.27965286,1.3853948939567235
1250.3416279851879,1.2844191,0.2716861,1.3838594396199062
1250.3550624568811,1.4049975,0.27395073,1.3822171748254204
1250.368496664237,1.7048628,0.28924686,1.3804986171513283
1250.3819306072721,1.0957869,0.2571149,1.3787419135702217
1250.3953642860013,1.412721,0.29926237,1.3769470640820392
1250.4087977004401,1.5703294,0.27524537,1.3751598450539047
1250.4222308506044,2.2767365,0.3548955,1.3734031446693493
1250.4356637365097,0.929165,0.22601144,1.3717151099009663
1250.4490963581711,1.5927778,0.26887628,1.3700881113541623
1250.4625287156055,1.4917023,0.28428894,1.3685679253960603
1250.475960808827,1.8313639,0.31169745,1.3671392932375364
1250.4893926378522,2.073405,0.33633572,1.3658174736675894
1250.502824202696,1.6365099,0.31361842,1.3645948372916261
1250.5162555033749,1.4678353,0.3070188,1.3634713841095827
1250.5296865399034,1.0138335,0.2577629,1.3624394847268657
1250.543117312298,0.73459816,0.24056317,1.3614991391434117
1250.5565478205735,0.14093062,0.19331272,1.3606427179646274
1250.5699780647458,0.490749,0.1924594,1.3598702211904499
1250.583408044831,0.36153343,0.18312338,1.359174019426284
1250.5968377608442,0.7581538,0.22361882,1.358554112672068
1250.6102672128004,0.49536502,0.16791485,1.358002871533208
1250.6236964007162,0.43696848,0.16578192,1.3575126666151094
1250.637125324607,0.17809325,0.15324977,1.3570911273122401
1250.6505539844875,0.09350173,0.11699197,1.3567153654409454
1250.6639823803746,0.14459181,0.1564062,1.356408269184754
1250.6774105122827,-0.036250006,0.15148595,1.35613932096548
1250.6908383802277,0.468013,0.18829064,1.3559390383611851
1250.7042659842255,0.5705834,0.19971117,1.3557997919772748
1250.7176933242913,0.71865445,0.20530589,1.3557215818136865
1250.7311204004411,0.90221435,0.21840917,1.3557044078703577
1250.74454721269,1.3822985,0.285346,1.3557711583308196
1250.7579737610538,1.2930812,0.24774706,1.3558836862223524
1250.7714000455478,1.036117,0.25088608,1.356057250333957
1250.784826066188,1.099631,0.2369448,1.356268962481976
1250.7982518229894,1.5620661,0.26466218,1.356503563877285
1250.8116773159686,1.149682,0.24047014,1.3567610545198199
1250.8251025451393,1.4797753,0.2685176,1.357010916831395
1250.838527510519,1.2550491,0.26865476,1.3572684096010086
1250.8519522121223,1.2844851,0.2514549,1.3575106446450043
1250.8653766499644,1.329917,0.27074242,1.3577605101469143
1250.878800824062,1.1558241,0.285384,1.358025635501206
1250.8922247344294,1.9883609,0.29279354,1.3583136501023483
1250.905648381083,1.087931,0.24304964,1.3586474421338726
1250.9190717640379,1.7882288,0.3044606,1.3590270115957162
1250.9324948833098,0.9960452,0.252009,1.3594676172768787
1250.9459177389142,1.0495782,0.2388605,1.3599616297827661
1250.9593403308668,1.2494612,0.25205728,1.3605166785078475
1250.9727626591828,1.7716403,0.26977536,1.3611022458739348
1250.9861847238778,1.3829262,0.2731103,1.3617183318809658
1250.9996065249675,1.3867878,0.27293953,1.3623267895562214
1251.0130280624676,1.538918,0.27895087,1.3629199895051076
1251.0264493363936,1.5371209,0.26728725,1.3634674141494365
1251.0398703467606,1.5510931,0.2739332,1.3639385459110211
1251.0532910935844,1.5280408,0.27768475,1.3643257553952675
