ID,Region,Target,RA,DEC,Angular Separation,Instrument/Grating/Cenwave,T_exp,SNR,PID
F1,LMC N11B,BI 42,04 57 00.885,-66 24 25.21,1.42,STIS/E140M/1425,2750.000,11.397921265157098,14675
F1,LMC N11B,BI 42,04 57 00.885,-66 24 25.21,1.42,STIS/E140M/1425,2778.000,11.61322162194594,14675
F1,LMC N11B,BI 42,04 57 00.885,-66 24 25.21,1.42,STIS/E230M/1978,2240.000,13.77098011322673,14675
F1,LMC N11B,BI 42,04 57 00.885,-66 24 25.21,1.42,STIS/E230M/1978,2730.000,14.599554513893763,14675
F2,LMC N11B,BRRG 75,04 56 43.276,-66 25 02.49,0.55,STIS/E140M/1425,2192.200,15.05854349677752,16820
F2,LMC N11B,BRRG 75,04 56 43.276,-66 25 02.49,0.55,STIS/E140M/1425,2548.200,16.26275722413107,16820
F3,LMC N11B,PGMW 3053,04 56 41.048,-66 24 40.54,0.59,COS/G130M/1291,475.232,36.82655958620816,16095
F4,LMC N11B,PGMW 3058,04 56 42.134,-66 24 54.71,0.55,COS/G130M/1291,2066.368,44.270283273929536,16319
F4,LMC N11B,PGMW 3058,04 56 42.134,-66 24 54.71,0.55,COS/G160M/1611,1996.096,18.814469722189475,16319
F5,LMC N11B,PGMW 3100,04 56 45.203,-66 25 10.78,0.57,COS/G130M/1291,1990.400,36.25285861542035,16094
F5,LMC N11B,PGMW 3100,04 56 45.203,-66 25 10.78,0.57,COS/G160M/1611,1968.096,17.367506245831496,16094
F6,LMC N11B,PGMW 3120,04 56 46.798,-66 24 46.86,0.15,STIS/E140M/1425,2291.000,7.703560612611212,8320
F6,LMC N11B,PGMW 3120,04 56 46.798,-66 24 46.86,0.15,STIS/E140M/1425,3152.000,9.233178204232658,8320
F6,LMC N11B,PGMW 3120,04 56 46.798,-66 24 46.86,0.15,STIS/E230M/1978,1570.000,8.592352800252797,14675
F6,LMC N11B,PGMW 3120,04 56 46.798,-66 24 46.86,0.15,STIS/E230M/1978,2240.000,10.063374703550991,14675
F7,LMC N11B,PGMW 3168,04 56 54.460,-66 24 15.87,0.84,COS/G130M/1291,1970.400,53.38098870291196,16818
F7,LMC N11B,PGMW 3168,04 56 54.460,-66 24 15.87,0.84,COS/G160M/1611,1964.032,22.781357625332745,16818
F8,LMC N11B,PGMW 3204,04 56 58.790,-66 24 40.71,1.19,STIS/E140M/1425,2176.200,10.163853911223438,16815
F8,LMC N11B,PGMW 3204,04 56 58.790,-66 24 40.71,1.19,STIS/E140M/1425,2548.198,10.716028642193407,16815
F8,LMC N11B,PGMW 3204,04 56 58.790,-66 24 40.71,1.19,STIS/E140M/1425,2548.199,10.805349965385933,16815
F9,LMC N11B,[L72] LH 10-3061,04 56 42.507,-66 25 18.22,0.8,COS/G130M/1291,2066.368,42.26077053251266,16811
F9,LMC N11B,[L72] LH 10-3061,04 56 42.507,-66 25 18.22,0.8,COS/G160M/1611,1996.096,20.85409671306676,16811
E1,30 Doradus,BAT99 113,05 38 43.092,-69 05 46.90,1.15,COS/G130M/1291,2062.400,44.34164274437275,16812
E1,30 Doradus,BAT99 113,05 38 43.092,-69 05 46.90,1.15,COS/G160M/1611,2004.032,20.8778188869626,16812
E2,30 Doradus,BAT99 114,05 38 43.200,-69 06 14.60,1.45,COS/G130M/1291,2072.416,38.395004044861416,16812
E2,30 Doradus,BAT99 114,05 38 43.200,-69 06 14.60,1.45,COS/G160M/1611,2024.096,17.493318672509798,16812
E3,30 Doradus,Brey 77,05 38 42.104,-69 05 55.34,1.3,STIS/E140M/1425,2192.200,11.86108855951817,16090
E3,30 Doradus,Brey 77,05 38 42.104,-69 05 55.34,1.3,STIS/E140M/1425,2638.199,12.95329500094985,16090
E3,30 Doradus,Brey 77,05 38 42.104,-69 05 55.34,1.3,STIS/E140M/1425,2638.200,12.49647754313851,16090
E4,30 Doradus,Cl* NGC 2070 MEL 25,05 38 41.551,-69 05 19.50,1.09,COS/G130M/1291,2054.400,44.40941936233985,16810
E5,30 Doradus,Cl* NGC 2070 MEL 47,05 38 37.718,-69 05 20.97,1.44,STIS/E140M/1425,2728.000,6.14943430612063,15629
E6,30 Doradus,Cl* NGC 2070 MEL 55,05 38 33.975,-69 04 21.23,1.91,COS/G130M/1291,4774.368,34.43186753914887,16815
E6,30 Doradus,Cl* NGC 2070 MEL 55,05 38 33.975,-69 04 21.23,1.91,COS/G160M/1611,4410.784,16.944161580229355,16815
E7,30 Doradus,Cl* NGC 2070 MH 57,05 38 40.216,-69 05 59.92,1.48,COS/G130M/1291,2040.384,56.466478937312054,16093
E7,30 Doradus,Cl* NGC 2070 MH 57,05 38 40.216,-69 05 59.92,1.48,COS/G160M/1611,2080.064,27.18738501416535,16093
E8,30 Doradus,RMC 140,05 38 41.616,-69 05 13.96,1.08,STIS/E140M/1425,2670.000,14.744041704370265,16272
