specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-355/E140M/E140M20/oe9e2s020_continuumfit.fits|1317.217|0.00047|13.55|0.047|17.032|3.423|5.7|2.109|2|2|2|-28.4091|28.4091|1317.7092406242905|1317.9588863273498|17721|17738|0.00049|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-355/E140M/E140M20/oe9e2s020_continuumfit.fits|1370.132|0.00047|13.55|0.0|17.032|0.0|5.7|0.0|2|2|2|-28.4091|28.4091|1370.6440148244671|1370.903689248973|22095|22113|0.00049|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-355/E140M/E140M20/oe9e2s020_continuumfit.fits|1454.842|0.00047|13.55|0.0|17.032|0.0|5.7|0.0|2|2|2|-28.4091|28.4091|1455.3856707348325|1455.6613998318078|28500|28518|0.00049|NiII|none|-- 
