specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1327_LP1_360.032_11625/lb2a05020/lb2a05020_continuumfit.fits|1250.578|0.00047|15.508|0.018|23.73|0.987|-0.206|0.64|2|2|2|-38.4358|38.4358|1251.0035116300119|1251.3241799097482|8834|8866|0.00047|S II|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1327_LP1_360.032_11625/lb2a05020/lb2a05020_continuumfit.fits|1253.805|0.00047|15.508|0.0|23.73|0.0|-0.206|0.0|2|2|2|-38.4358|38.4358|1254.231609623124|1254.5531053574762|9158|9190|0.00047|S II|none|-- 
