wave,flux,err,best_fit_spec
1250.011738174871,1.0644933,0.22430049,1.2800437806283504
1250.0251799715024,1.6238391,0.24154684,1.2799720082140873
1250.0386215033745,1.0725173,0.2163349,1.2798464643592726
1250.052062770503,1.2932494,0.2343644,1.2796429713708792
1250.0655037729032,0.86851966,0.21448427,1.2793138487336508
1250.078944510591,1.4289377,0.21345335,1.2788287288546831
1250.0923849835822,1.3869442,0.22034684,1.2781706148334973
1250.1058251918917,1.2914253,0.24021769,1.2773086979713726
1250.119265135536,1.4132869,0.25213242,1.2762773151797475
1250.13270481453,0.8105196,0.2024713,1.2750897923656297
1250.14614422889,1.352272,0.21544327,1.2737995319298159
1250.1595833786314,1.1721926,0.21102262,1.2724684984354406
1250.1730222637696,1.2944558,0.23468573,1.2711595012293782
1250.1864608843202,0.8872593,0.21499588,1.269911465698758
1250.1998992402994,0.8338885,0.19567089,1.268740610553378
1250.2133373317224,1.3305748,0.25394428,1.267641745962119
1250.226775158605,0.78305674,0.22420156,1.26659376728757
1250.2402127209623,1.0764576,0.20746292,1.2655868985807164
1250.2536500188105,0.9464402,0.20704933,1.2646078244418724
1250.267087052165,1.1882638,0.21807583,1.2636544714751154
1250.2805238210415,1.0652401,0.21550067,1.2627314525300368
1250.2939603254556,1.303136,0.21863869,1.2618395054587122
1250.3073965654228,0.9612252,0.19356768,1.2609845323157798
1250.320832540959,1.3008986,0.22834085,1.2601631648949199
1250.3342682520793,1.3254313,0.23337427,1.2593700067191587
1250.3477036987997,1.3241922,0.22677521,1.258601178973892
1250.3611388811357,1.4317974,0.23761421,1.2578477551963534
1250.374573799103,0.8753685,0.20986111,1.257106027804376
1250.3880084527175,1.3049185,0.23034574,1.256369316392976
1250.401442841994,0.99947125,0.21615164,1.255628429278594
1250.414876966949,1.0896139,0.22604951,1.2548646375723607
1250.428310827597,1.0988481,0.21175067,1.2540621252645687
1250.4417444239546,1.3276746,0.23219049,1.2532043343646488
1250.455177756037,0.9735357,0.19848433,1.2522837071704478
1250.46861082386,1.1384012,0.22287314,1.2513119416936582
1250.4820436274388,0.7295108,0.18773012,1.2503018162655635
1250.4954761667893,0.9334862,0.2034014,1.2492830178568557
1250.5089084419274,1.2772182,0.21495365,1.2482803449339321
1250.5223404528676,1.23807,0.22376761,1.2473201680868773
1250.5357721996268,0.6498871,0.16823757,1.2464108609117053
1250.5492036822195,0.8004922,0.20781411,1.2455631204754838
1250.5626349006623,0.9243996,0.20508589,1.2447720261188275
1250.57606585497,0.68023986,0.18155453,1.2440330699981763
1250.5894965451582,0.6288414,0.15863831,1.2433475816070316
1250.602926971243,0.5556797,0.15057181,1.242705740437214
1250.6163571332397,0.3221207,0.12426134,1.2421085141818193
1250.6297870311637,-0.013302696,0.14160141,1.2415516850375017
1250.6432166650313,0.2973832,0.13491811,1.2410303242691512
1250.656646034857,0.04400652,0.123277254,1.2405462399512255
1250.670075140657,0.6349911,0.16546705,1.2400905508041224
1250.6835039824468,0.5605964,0.1577744,1.2396603296517024
1250.696932560242,0.7372794,0.19717722,1.2392475313243376
1250.710360874058,0.78440595,0.20700362,1.2388411634665426
1250.723788923911,1.187338,0.2218565,1.23842796280491
1250.7372167098151,1.2714169,0.21239908,1.2379968225908187
1250.7506442317874,1.1093491,0.1997245,1.2375415679868986
1250.7640714898428,0.95818704,0.2092318,1.2370650518177375
1250.7774984839969,1.0048853,0.22131914,1.2365820408650556
1250.7909252142658,0.95929486,0.21733314,1.2361128722687924
1250.8043516806638,1.2052735,0.23831108,1.2356771057059412
1250.8177778832076,1.179464,0.23268875,1.2352882064420976
1250.8312038219121,1.0563167,0.21955241,1.2349585911671963
1250.8446294967935,1.3387274,0.2349408,1.2346832504289862
1250.8580549078667,0.8555733,0.20471792,1.2344671081057965
1250.8714800551475,0.92377245,0.25592613,1.2343062378438707
1250.8849049386515,1.0335853,0.20473024,1.2341986976369994
1250.8983295583942,0.95007324,0.21432002,1.2341522210564617
1250.9117539143913,1.0763077,0.20760317,1.2341611520666982
1250.9251780066584,0.97356635,0.20444718,1.2342330782825863
1250.9386018352102,1.0919025,0.22497928,1.234369374556929
