wave,flux,err,best_fit_spec
1245.007178182664,-26.517035,8.00631,177.42036676965586
1245.020395700071,-8560.908,6284.0483,177.4836619347676
1245.0336129614827,-4829.18,3897.7454,177.41854005326167
1245.0468299669142,-15.402499,10.651614,177.240248627295
1245.0600467163808,-4531.476,4466.004,176.95042856689335
1245.0732632098973,-10.548385,4.222777,176.5721260598457
1245.0864794474785,-1630.5037,1949.0431,176.13614921927663
1245.0996954291388,-18.950073,4.8040137,175.66705271102137
1245.1129111548937,24.005863,12.20061,175.194014716057
1245.1261266247575,-3.0574503,9.388656,174.73668379420596
1245.1393418387456,2.9546363,4.606805,174.30968182887517
1245.152556796873,21.976713,5.351796,173.9210276851084
1245.1657714991538,17.987041,9.115382,173.58131966341386
1245.178985945603,-5850.185,4131.2197,173.28554631497474
1245.192200136236,6711.093,6684.831,173.03570069851185
1245.2054140710673,29.097246,8.771027,172.81875798385389
1245.2186277501119,24.474455,9.493376,172.62921668183787
1245.2318411733843,18.98508,9.124108,172.4502067340392
1245.2450543409,34.801662,9.0099125,172.25949861237942
1245.2582672526732,25.705976,9.181298,172.01836869839548
1245.2714799087191,29.3851,8.076742,171.68730763315176
1245.2846923090526,31.760843,15.211106,171.2192611320393
1245.2979044536885,-4646.4844,5002.1455,170.56834735337293
1245.3111163426413,26.900755,14.770857,169.73632681924448
1245.324327975926,13.951986,14.15219,168.7015724558051
1245.337539353558,-4739.1895,5374.6665,167.522158332348
1245.3507504755512,5086.716,5884.6553,166.22980440683705
1245.363961341921,19.113457,13.828478,164.88106886267667
1245.3771719526824,1574.1731,3232.413,163.52336619461497
1245.3903823078501,24.350763,5.6341553,162.20015166751423
1245.4035924074385,28.728539,6.5479364,160.93126995999555
1245.4168022514632,-5.2263365,17.121164,159.73693543986423
1245.4300118399385,6378.9497,6379.2075,158.6188509171702
1245.4432211728788,-2.5406587,7.6529784,157.5772879701898
1245.4564302502997,-5.2032704,8.909453,156.62498387957902
1245.469639072216,-5.6647854,14.8161125,155.7566353594588
1245.4828476386424,-18.833498,12.31374,154.97909723606205
1245.4960559495935,-9289.565,6328.663,154.24924952459475
1245.5092640050843,-21.344147,8.126925,153.4942672993411
1245.5224718051295,-15.518642,7.6380367,152.58991661443133
1245.535679349744,-1.9551013,9.956766,151.442198171156
1245.5488866389428,-4843.617,4665.0254,149.92447019318666
1245.5620936727403,6552.208,6569.4023,148.04747973113092
1245.5753004511514,7112.013,7119.0195,145.80779645176588
1245.5885069741917,14.761736,11.755012,143.2667491279708
1245.6017132418747,-3529.6848,4233.7656,140.53490214041904
1245.6149192542164,12.523703,12.390926,137.7202053720003
1245.6281250112308,1.4305501,8.172965,134.96530150341033
1245.6413305129333,-1.7128682,6.941174,132.39978998114407
1245.654535759338,6954.042,6949.477,130.12203138124406
1245.6677407504606,-6.4185834,4.5628777,128.15595759715296
1245.6809454863153,6978.079,6980.388,126.48636164862639
1245.6941499669167,-0.21540019,8.706049,124.96318694365121
1245.7073541922803,2214.428,8623.198,123.45738446659307
1245.7205581624203,17.018175,8.10231,121.84651308556359
1245.733761877352,5.0009274,5.066409,120.06942463710021
1245.7469653370897,6.2914124,5.3252754,118.10356657594816
1245.7601685416487,2.3552983,10.336352,116.00508759610878
1245.7733714910432,-0.051060364,11.86817,113.82044709523237
1245.7865741852886,-4761.2036,5550.3794,111.6170092024579
1245.7997766243996,-4737.1553,3782.9805,109.42404599723791
1245.8129788083904,-11.594006,12.883424,107.23672215446719
1245.8261807372762,4.3824673,11.076432,105.03420688415984
1245.839382411072,3.56296,9.282558,102.7967852443229
1245.8525838297921,4.2703385,5.9754357,100.5330896562603
1245.8657849934518,6960.4497,6953.738,98.26234960564834
1245.8789859020656,11.420302,9.334172,96.00539322807983
1245.8921865556483,10.84562,10.374047,93.74260854517411
1245.9053869542145,1805.828,7717.618,91.3804914208231
1245.9185870977792,5.26401,9.105103,88.81475908498014
1245.9317869863576,2925.7112,4503.7017,85.87591206001542
1245.9449866199636,18.241238,15.278928,82.45563619404481
1245.9581859986129,-3925.6228,4693.555,78.46723091601966
1245.9713851223191,5744.682,6993.9077,73.8187905016224
1245.984583991098,6.7959685,6.5955353,68.5948321450063
1245.9977826049642,-1.4199725,8.0204115,62.787290418842545
1246.0109809639318,-1329.645,1588.2118,56.586580228394354
1246.0241790680166,4.7825246,6.353019,50.13040120756476
1246.0373769172325,-2.1698773,8.179903,43.620476644367926
1246.0505745115947,12.824193,11.257522,37.224444610071686
1246.0637718511177,-7.3128743,4.2966795,31.109719645760748
1246.0769689358165,8.575346,5.9193764,25.282420994310996
1246.090165765706,-4696.168,3893.8977,19.75628740890619
1246.1033623408005,-3.7576404,10.20096,14.48007712174092
1246.1165586611148,-5015.8013,5107.8457,9.406547263657501
1246.1297547266645,2423.3206,4071.9956,4.542515154552348
1246.1429505374629,12.781188,13.592452,-0.11796895956359776
1246.1561460935259,4.0053363,11.659227,-4.490789115543208
1246.1693413948676,-8.595991,7.252459,-8.515564983888936
1246.1825364415035,-4970.209,5510.8164,-12.122241715443806
1246.195731233448,-4941.4604,5573.866,-15.233309742773372
1246.2089257707157,9.740837,16.071198,-17.870329610273274
1246.222120053321,-0.7997075,5.798562,-20.02023931765757
1246.2353140812793,6958.809,6965.3013,-21.749404376266483
1246.2485078546051,-9.659173,7.798791,-23.064231672372387
1246.261701373313,-134.37088,148.47261,-24.008593112152113
1246.2748946374184,7513.005,7520.436,-24.651887203385712
1246.2880876469349,7017.517,7039.329,-25.00777656741937
1246.3012804018779,-28.530275,12.468115,-25.173562108152595
1246.3144729022622,-32.828968,9.9690695,-25.197708789290516
1246.3276651481026,-4941.9346,4135.556,-25.16842502134469
1246.3408571394134,-43.933895,10.803027,-25.156406939187633
1246.3540488762098,-32.468533,6.96195,-25.229558802630038
1246.367240358506,1652.9674,8139.345,-25.40089292322733
1246.3804315863172,-25.602064,10.311667,-25.666933110944512
1246.393622559658,-14.028486,3.4827275,-25.968405096480097
1246.4068132785433,-11.949222,3.9996693,-26.244776852468874
1246.420003742987,-13.766873,11.466284,-26.41867472174721
1246.433193953005,-18.060488,4.750629,-26.444341229208902
1246.4463839086113,-12.832123,7.235123,-26.23902838121637
1246.4560035560019,-1433.3928,6799.0063,-25.939908951670475
1246.459573609821,-3800.3271,4555.237,-25.7911462030969
1246.4695147226355,-2137.3748,2.092738,-25.253296173286714
1246.4727630566485,-2.8659847,3.7392018,-25.04513217786996
1246.4830256203743,-2132.9084,2.086614,-24.253187037775405
1246.4859522491085,-3.069631,7.3631573,-23.97142917448099
1246.4965362492355,-1999.7103,2.260801,-22.860166646558838
1246.4991411872159,-0.48924705,11.225319,-22.564221630304672
1246.510046609235,-2111.6472,2.8907554,-21.113339122357957
1246.5123298709852,-5010.969,5165.329,-20.770923692563258
1246.523556700388,-59.260468,9.811278,-18.95469694273916
1246.5255183004315,-7.59848,5.9470673,-18.608393584057353
1246.5370665227115,-12005.046,12562.698,-16.39542768311432
1246.5387064755694,-12.289256,6.5893526,-16.063946139320365
1246.5505760762212,-11.802791,17.919136,-13.508608491291113
1246.5518943964132,-7.601593,21.046846,-13.204130310654534
1246.564085360933,36.56445,18.095703,-10.309921728410501
1246.5650820629778,-3113.8984,3714.9895,-10.067210568386656
1246.5775943768629,-11882.608,11615.918,-6.847904804715284
1246.5782694752786,-0.4883415,18.293224,-6.667623780488668
1246.5911031240275,41.144806,9.962813,-3.1386425818792816
1246.5914566333292,19.250275,12.120338,-3.0353095784791435
1246.604611602442,-9331.787,11191.321,0.8858114885910027
1246.6046435371447,15.94197,10.151663,0.8956093789045099
1246.6178301867403,-5040.0586,5997.69,5.139270634994631
1246.6181198121228,17040.65,16991.059,5.23809848236462
1246.63101658213,-20.815832,50.084904,9.773236338935277
1246.6316277530864,3.5935307,11.9402275,9.994046148842642
1246.6442027233293,24.01385,9.24667,14.86405051156487
1246.6451354253484,-21.947308,9.648665,15.24278342403636
1246.6573886103522,32.638084,9.963521,20.411978139621453
1246.6586428289247,-18.060114,9.723907,20.977051507447783
1246.6705742432137,18.413296,11.954092,26.502871551737684
1246.6721499638315,-25.197104,12.863868,27.25509695153761
1246.6837596219282,-4939.6333,5509.5967,33.03530608305965
