specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1454.842|0.00047|14.195|0.022|30.3|2.261|-4.553|1.433|2|2|2|-35.0936|35.0936|1455.353231988995|1455.6938385776452|2777|2805|0.00045|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1709.6042|0.00047|14.195|0.0|30.3|0.0|-4.553|0.0|2|2|2|-35.0936|35.0936|1710.2049555154167|1710.6052068516472|24592|24625|0.00045|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1741.5531|0.00047|14.195|0.0|30.3|0.0|-4.553|0.0|2|2|2|-35.0936|35.0936|1742.1650823700809|1742.5728135603713|27202|27236|0.00045|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1751.9157|0.00047|14.195|0.0|30.3|0.0|-4.553|0.0|2|2|2|-35.0936|35.0936|1752.531323791355|1752.941481066289|28049|28082|0.00045|NiII|none|-- 
