specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-285/G130M1291/G130M10/lcut02010_continuumfit.fits|1317.217|0.00094|13.983|0.06|18.92|4.274|-1.446|2.787|2|2|2|-36.7647|36.7647|1318.296638685206|1318.619709439974|19437|19469|0.00094|NiII|none|-- 
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-285/G130M1291/G130M10/lcut02010_continuumfit.fits|1370.132|0.00094|13.983|0.0|18.92|0.0|-1.446|0.0|2|2|2|-36.7647|36.7647|1371.2550097326703|1371.5910588266097|24747|24781|0.00094|NiII|none|-- 
